language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
de,0,12.459279125199751,0.31083343169593247,12.459279 +- 0.310833,3,0.3159110817168829,0.005612125486683769,0.315911 +- 0.005612,3
de,1,14.451156147212021,0.32150646307308234,14.451156 +- 0.321506,3,0.683621616746769,0.005898783790129305,0.683622 +- 0.005899,3
de,2,15.965543470034762,0.5200533419633296,15.965543 +- 0.520053,3,0.715245253093206,0.004493996373989854,0.715245 +- 0.004494,3
de,3,16.193925907926804,0.22292388098823998,16.193926 +- 0.222924,3,0.8059237752429046,0.00560791987804567,0.805924 +- 0.005608,3
de,4,17.45147487794375,0.3598819880154022,17.451475 +- 0.359882,3,0.8732215266770039,0.006303542923831803,0.873222 +- 0.006304,3
de,5,16.73857736614035,0.8376324610175587,16.738577 +- 0.837632,3,0.8891547441338868,0.005841035366365358,0.889155 +- 0.005841,3
de,6,17.16298107314034,1.0495282360955087,17.162981 +- 1.049528,3,0.913688208509462,0.007405392272100323,0.913688 +- 0.007405,3
de,7,17.555976292679215,1.1198261942572298,17.555976 +- 1.119826,3,0.9376756723871393,0.007721699954339842,0.937676 +- 0.007722,3
de,8,17.816600291588312,0.90583976448323,17.816600 +- 0.905840,3,0.9562798362744125,0.008151104073346321,0.956280 +- 0.008151,3
de,9,18.14230403540706,0.9262426763609098,18.142304 +- 0.926243,3,0.9606285116572569,0.007490335218528665,0.960629 +- 0.007490,3
de,10,18.698085353316195,1.2604295339014082,18.698085 +- 1.260430,3,0.9607027790542713,0.007496714489826985,0.960703 +- 0.007497,3
de,11,18.823964939272503,0.998787637866556,18.823965 +- 0.998788,3,0.9536685151172474,0.007697712653033015,0.953669 +- 0.007698,3
de,12,19.296007749138436,0.944550910776639,19.296008 +- 0.944551,3,0.9521282456980216,0.006812174895027402,0.952128 +- 0.006812,3
de,13,19.96434532461681,0.5737345954528592,19.964345 +- 0.573735,3,0.9578620013399034,0.006400537887883501,0.957862 +- 0.006401,3
de,14,19.530159797476667,0.611627763082973,19.530160 +- 0.611628,3,0.9501927672134248,0.00657083023214469,0.950193 +- 0.006571,3
de,15,18.790847686382705,0.74330650041279,18.790848 +- 0.743307,3,0.936375373106482,0.00521413824399886,0.936375 +- 0.005214,3
de,16,18.20859320650174,0.4793905123332295,18.208593 +- 0.479391,3,0.9171659026453978,0.0031870136622435753,0.917166 +- 0.003187,3
de,17,17.542906115330304,0.5611598700909862,17.542906 +- 0.561160,3,0.9125645606376549,0.00244527895002225,0.912565 +- 0.002445,3
de,18,16.81570424383081,0.47650780422237365,16.815704 +- 0.476508,3,0.9009137954167034,0.002108182956839876,0.900914 +- 0.002108,3
de,19,16.56921393626195,0.41620196830398065,16.569214 +- 0.416202,3,0.897871046906164,0.00197110264890645,0.897871 +- 0.001971,3
de,20,16.636198548475644,0.6113020638362736,16.636199 +- 0.611302,3,0.8911686213189315,0.0014135993819824574,0.891169 +- 0.001414,3
de,21,16.97678424064556,0.8246797971194637,16.976784 +- 0.824680,3,0.8859948548811171,0.001181747658523425,0.885995 +- 0.001182,3
de,22,17.029870863595967,0.7429657937665114,17.029871 +- 0.742966,3,0.8816263334771443,0.00033769547178061804,0.881626 +- 0.000338,3
de,23,17.02103516864882,0.6935721552854898,17.021035 +- 0.693572,3,0.8773119720994141,0.00041783160767389473,0.877312 +- 0.000418,3
de,24,16.762773547286105,0.6012821609573,16.762774 +- 0.601282,3,0.8664711845419149,0.0015977345408368824,0.866471 +- 0.001598,3
de,25,16.838237705691515,0.5544859171849641,16.838238 +- 0.554486,3,0.8585746028200061,0.0017405253062789646,0.858575 +- 0.001741,3
de,26,16.50499225984658,0.5526473620279697,16.504992 +- 0.552647,3,0.8448492143027064,0.002481162345111075,0.844849 +- 0.002481,3
de,27,16.507408112753517,0.49034282033200854,16.507408 +- 0.490343,3,0.8357978736052553,0.0026460165926620073,0.835798 +- 0.002646,3
de,28,16.454902653828512,0.5395645265866297,16.454903 +- 0.539565,3,0.8247296385486447,0.003216182175101121,0.824730 +- 0.003216,3
de,29,16.36970245907498,0.4568468590487545,16.369702 +- 0.456847,3,0.8087750766478738,0.0028186111509754335,0.808775 +- 0.002819,3
de,30,16.25266036463165,0.6048595962053053,16.252660 +- 0.604860,3,0.7955764997532789,0.0032093582777555593,0.795576 +- 0.003209,3
de,31,15.88540134965377,0.6545452175312318,15.885401 +- 0.654545,3,0.7990547771800532,0.002325894169886009,0.799055 +- 0.002326,3
en,0,11.61745892516019,0.8308833879315817,11.617459 +- 0.830883,3,0.4751188138764667,0.016163425792296446,0.475119 +- 0.016163,3
en,1,15.28375688872972,0.7549741248543199,15.283757 +- 0.754974,3,0.7215289827178041,0.013295148221986715,0.721529 +- 0.013295,3
en,2,14.599248141139626,0.530984342614423,14.599248 +- 0.530984,3,0.7503648953790596,0.013578474398269539,0.750365 +- 0.013578,3
en,3,15.68224364596181,0.9655204720661889,15.682244 +- 0.965520,3,0.8219655769467824,0.013512523918180957,0.821966 +- 0.013513,3
en,4,16.402537560182203,0.7551203889739316,16.402538 +- 0.755120,3,0.8780427964141405,0.011672027293149635,0.878043 +- 0.011672,3
en,5,16.10616459553108,1.5217025610044126,16.106165 +- 1.521703,3,0.8878068022107727,0.010109412071514131,0.887807 +- 0.010109,3
en,6,16.21146497776065,1.5976467231691345,16.211465 +- 1.597647,3,0.9087126536602496,0.009248902679490613,0.908713 +- 0.009249,3
en,7,16.633873976657952,1.499582912496518,16.633874 +- 1.499583,3,0.9272486267459031,0.008837323169001767,0.927249 +- 0.008837,3
en,8,17.58429382927192,1.5786833496514219,17.584294 +- 1.578683,3,0.9434913121383196,0.008768371505677717,0.943491 +- 0.008768,3
en,9,17.786667787103983,1.9680988469321175,17.786668 +- 1.968099,3,0.9577233985806182,0.008109524643656996,0.957723 +- 0.008110,3
en,10,17.794816714230606,1.732170284234868,17.794817 +- 1.732170,3,0.9626908170673829,0.008732364688531629,0.962691 +- 0.008732,3
en,11,17.89467611857716,1.5653481443878758,17.894676 +- 1.565348,3,0.9527469370451246,0.008472684036632224,0.952747 +- 0.008473,3
en,12,18.04774830019967,1.5736018239434486,18.047748 +- 1.573602,3,0.9526034589955132,0.007684776830571898,0.952603 +- 0.007685,3
en,13,18.712614627336418,1.5538949465357665,18.712615 +- 1.553895,3,0.9560273584956849,0.007605989775119891,0.956027 +- 0.007606,3
en,14,19.122851681333206,1.582853268417699,19.122852 +- 1.582853,3,0.9524545945848526,0.007002888935141549,0.952455 +- 0.007003,3
en,15,18.430324220862463,1.2974615755633254,18.430324 +- 1.297462,3,0.9392368356971458,0.006402630655679283,0.939237 +- 0.006403,3
en,16,17.93584914180376,1.2504079695997756,17.935849 +- 1.250408,3,0.9220761146286842,0.005897664259612094,0.922076 +- 0.005898,3
en,17,17.483454417187886,1.1920785646818965,17.483454 +- 1.192079,3,0.9161968983588461,0.0060636193735480026,0.916197 +- 0.006064,3
